,,,, litres of water/ kg or litres of food commodity,,,,,,,,,,,,,,,,
FOOD COMMODITY GROUP,FOOD COMMODITY TYPOLOGY,FOOD COMMODITY sub-TYPOLOGY,FOOD COMMODITY ITEM,n,mean,median,st.dev,min,max,MAD,Q1,Q3,CV,skewness,kurtosis,Shapiro Wilk test P,FLAG 1 (SIZE),FLAG 2 (outlier),FLAG 3 (adherence to the normal distribution),Suggested CF value to represent food commodity
AGRICULTURAL PROCESSED,BEER*,-,BEER*,3,166,155,104,45,298,110,100,227,0.6,0.158,1.500,0.856,R,n.a,R,item matching typology
AGRICULTURAL PROCESSED,BISCUITS,-,CHOCOLATE OR CREAM FILLED COOKIES**,8,2895,2902,568,2083,3589,569,2503,3451,0.2,-0.214,1.532,0.240,Y,G,G,ok item
AGRICULTURAL PROCESSED,BISCUITS,-,SIMPLE COOKIES**,12,1684,1724,336,1167,2502,122,1533,1791,0.2,0.659,3.761,0.258,G,G,G,ok item
AGRICULTURAL PROCESSED,BREAD,-,BREAD,5,1003,667,497,517,1608,150,613,1608,0.5,0.379,1.184,0.432,G*,G,G,ok item
AGRICULTURAL PROCESSED,BREAD,-,BREAD MULTICEREAL**,2,771,771,212,559,983,212,665,877,0.3,0.000,1.000,n.a,R,G,R,typology
AGRICULTURAL PROCESSED,BREAD,-,BREAD PLAIN**,7,995,1031,268,601,1387,195,785,1188,0.3,-0.156,1.734,0.785,Y,G,G,ok item
AGRICULTURAL PROCESSED,BREAD,-,BREAD WHOLE**,5,851,887,193,544,1140,101,787,900,0.2,-0.143,2.307,0.849,Y,G,G,ok item
AGRICULTURAL PROCESSED,BREAKFAST CEREALS,-,BARLEY FLAKES,1,1977,1977,-,1977,1977,-,1977,1977,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,BREAKFAST CEREALS,-,OAT FLAKES,1,2416,2416,-,2416,2416,-,2416,2416,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,COCOA DERIVATES,-,CHOCOLATE,1,17196,17196,-,17196,17196,-,17196,17196,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,COCOA DERIVATES,-,COCOA BUTTER,1,33938,33938,-,33938,33938,-,33938,33938,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,COCOA DERIVATES,-,COCOA PASTE,1,24238,24238,-,24238,24238,-,24238,24238,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,COCOA DERIVATES,-,COCOA POWDER,2,15618,15618,18,15600,15636,18,15609,15627,0.0,0.000,1.000,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,COFFEE GROUND & PARCHMENT* (coffee roasted),-,COFFEE ROASTED,2,19956,19956,1031,18925,20987,1031,19441,20472,0.1,0.000,1.000,n.a,R,n.a,R,item matching typology
AGRICULTURAL PROCESSED,COFFEE LIQUID,-,COFFEE SOLUBLE,1,640,640,-,640,640,-,640,640,-,-,-,n.a,R,G,R,typology
AGRICULTURAL PROCESSED,COFFEE LIQUID,-,COFFEE STANDARD,1,1120,1120,-,1120,1120,-,1120,1120,-,-,-,n.a,R,G,R,typology
AGRICULTURAL PROCESSED,COFFEE LIQUID,-,COFFEE STRONG,1,1600,1600,-,1600,1600,-,1600,1600,-,-,-,n.a,R,G,R,typology
AGRICULTURAL PROCESSED,COFFEE LIQUID,-,COFFEE WEAK,1,800,800,-,800,800,-,800,800,-,-,-,n.a,R,G,R,typology
AGRICULTURAL PROCESSED,CRACKERS,-,FLAVORED CRACKERS**,4,1429,1378,168,1258,1701,83,1314,1493,0.1,0.756,2.027,0.470,Y,G,G,ok item
AGRICULTURAL PROCESSED,CRACKERS,-,PLAIN CRACKERS**,8,1488,1448,202,1183,1933,74,1395,1546,0.1,0.877,3.617,0.259,Y,G,G,ok item
AGRICULTURAL PROCESSED,CRACKERS,-,WHOLEGRAIN CRACKERS**,17,833,617,482,389,2107,194,561,1004,0.6,1.286,3.577,0.002,G,G,R,ok item
