Menu Item,Primary Ingredient
Three-Bean Salad,BEAN
Vegan Oatmeal,OAT
Breakfast Homefries,POTATO
Allergen Free Waffles,WAFFLE BATTER INGREDIENT
Bacon,PORK
Chicken Sausage,CHICKEN
Blueberry Topping,BLUEBERRY
Mixed Berries,ASSORTED BERRY
Nutella,HAZELNUT
Peach Topping,PEACH
Strawberry Topping,STRAWBERRY
Warm Syrup,SUGAR
Whipped Cream,CREAM
Waffles,WAFFLE BATTER INGREDIENT
Feta & Chicken Frittata,EGG
Roasted Pepper, Onion, & Cheddar Frittata,EGG
Bacon,PORK
Biscuits,FLOUR
Breakfast Homefries,POTATO
Eggs Scrambled,EGG
Grilled Chicken Breast w/ Bruschetta,CHICKEN
Chicken Sausage,CHICKEN
Vanilla Chia Seed Pudding,CHIA SEED
Vegan Pancakes,PANCAKE BATTER INGREDIENT
Berry Compote,ASSORTED BERRY
Warm Syrup,SUGAR
Whipped Cream,CREAM
Pancakes,PANCAKE BATTER INGREDIENT
Eggs to Order,EGG
French Fries,POTATO
Grilled Cheese Sandwich,BREAD
Grilled Chicken,CHICKEN
Hamburger,BEEF
Hebrew National Hotdog,HOTDOG
Spicy Chicken Patty,CHICKEN
Oatmeal,OAT
Cheese Pizza,CHEESE
Pepperoni Pizza,PEPPERONI
