Menu Item,Primary Ingredient
Three-Bean Salad,Beans
Vegan Oatmeal,Oats
Breakfast Homefries,Potatoes
Allergen Free Waffles,Waffle batter ingredients
Bacon,Pork
Chicken Sausage,Chicken
Blueberry Topping,Blueberries
Mixed Berries,Assorted berries
Nutella,Hazelnuts
Peach Topping,Peaches
Strawberry Topping,Strawberries
Warm Syrup,Sugar
Whipped Cream,Cream
Waffles,Waffle batter ingredients
Feta & Chicken Frittata,Eggs
Roasted Pepper, Onion, & Cheddar Frittata,Eggs
Bacon,Pork
Biscuits,Flour
Breakfast Homefries,Potatoes
Eggs Scrambled,Eggs
Grilled Chicken Breast w/ Bruschetta,Chicken
Chicken Sausage,Chicken
Vanilla Chia Seed Pudding,Chia seeds
Vegan Pancakes,Pancake batter ingredients
Berry Compote,Assorted berries
Warm Syrup,Sugar
Whipped Cream,Cream
Pancakes,Pancake batter ingredients
Eggs to Order,Eggs
French Fries,Potatoes
Grilled Cheese Sandwich,Bread
Grilled Chicken,Chicken
Hamburger,Beef
Hebrew National Hotdog,Hotdog
Spicy Chicken Patty,Chicken
Oatmeal,Oats
Cheese Pizza,Cheese
Pepperoni Pizza,Pepperoni
